data-hora,chuva-horaria-mm,nivel-cm
08/08/2024 15:15:00,0.00,207.00
08/08/2024 15:00:00,0.00,207.00
08/08/2024 14:45:00,0.00,207.00
08/08/2024 14:30:00,0.00,207.00
08/08/2024 14:15:00,0.00,207.00
08/08/2024 14:00:00,0.00,207.00
08/08/2024 13:45:00,0.00,208.00
08/08/2024 13:30:00,0.00,207.00
08/08/2024 13:15:00,0.00,207.00
08/08/2024 13:00:00,0.00,207.00
08/08/2024 12:45:00,0.00,207.00
08/08/2024 12:30:00,0.00,207.00
08/08/2024 12:15:00,0.00,207.00
08/08/2024 12:00:00,0.00,206.00
08/08/2024 11:45:00,0.00,206.00
08/08/2024 11:30:00,0.00,205.00
08/08/2024 11:15:00,0.00,204.00
08/08/2024 11:00:00,0.00,204.00
08/08/2024 10:45:00,0.00,204.00
08/08/2024 10:30:00,0.00,203.00
08/08/2024 10:15:00,0.00,203.00
08/08/2024 10:00:00,0.00,204.00
08/08/2024 09:45:00,0.00,205.00
08/08/2024 09:30:00,0.00,205.00
08/08/2024 09:15:00,0.40,205.00
08/08/2024 09:00:00,0.40,205.00
08/08/2024 08:45:00,0.00,206.00
08/08/2024 08:30:00,0.00,205.00
08/08/2024 08:15:00,0.00,206.00
08/08/2024 08:00:00,0.00,206.00
08/08/2024 07:45:00,0.00,206.00
08/08/2024 07:30:00,0.00,206.00
08/08/2024 07:15:00,0.00,206.00
08/08/2024 07:00:00,0.00,207.00
08/08/2024 06:45:00,0.00,207.00
08/08/2024 06:30:00,0.00,208.00
08/08/2024 06:15:00,0.00,209.00
08/08/2024 06:00:00,0.00,210.00
08/08/2024 05:45:00,0.00,211.00
08/08/2024 05:30:00,0.00,212.00
08/08/2024 05:15:00,0.00,212.00
08/08/2024 05:00:00,0.00,212.00
08/08/2024 04:45:00,0.00,211.00
08/08/2024 04:30:00,0.00,211.00
08/08/2024 04:15:00,0.00,210.00
08/08/2024 04:00:00,0.00,208.00
08/08/2024 03:45:00,0.00,206.00
08/08/2024 03:30:00,0.00,205.00
08/08/2024 03:15:00,0.00,203.00
08/08/2024 03:00:00,0.00,200.00
08/08/2024 02:45:00,0.00,198.00
08/08/2024 02:30:00,0.00,196.00
08/08/2024 02:15:00,0.00,196.00
08/08/2024 02:00:00,0.00,196.00
08/08/2024 01:45:00,0.00,196.00
08/08/2024 01:30:00,0.00,196.00
08/08/2024 01:15:00,0.00,196.00
08/08/2024 01:00:00,0.00,195.00
08/08/2024 00:45:00,0.00,194.00
08/08/2024 00:30:00,0.00,194.00
08/08/2024 00:15:00,0.00,193.00
08/08/2024 00:00:00,0.00,193.00
07/08/2024 23:45:00,0.00,192.00
07/08/2024 15:15:00,0.20,182.00
07/08/2024 15:00:00,0.20,183.00
07/08/2024 14:45:00,0.00,184.00
07/08/2024 14:30:00,0.00,185.00
07/08/2024 14:15:00,0.00,186.00
07/08/2024 14:00:00,0.00,186.00
07/08/2024 13:45:00,0.20,187.00
07/08/2024 13:30:00,0.00,187.00
07/08/2024 13:15:00,0.00,187.00
07/08/2024 13:00:00,0.20,187.00
07/08/2024 12:45:00,0.00,187.00
07/08/2024 12:30:00,0.00,188.00
07/08/2024 12:15:00,0.20,189.00
07/08/2024 12:00:00,0.00,189.00
07/08/2024 11:45:00,0.00,191.00
07/08/2024 11:30:00,0.00,191.00
07/08/2024 11:15:00,0.20,192.00
07/08/2024 11:00:00,0.00,193.00
07/08/2024 10:45:00,0.00,195.00
07/08/2024 10:30:00,0.00,194.00
07/08/2024 10:15:00,0.00,196.00
07/08/2024 10:00:00,0.00,197.00
07/08/2024 09:45:00,0.00,198.00
07/08/2024 09:30:00,0.00,198.00
07/08/2024 09:15:00,0.00,199.00
07/08/2024 09:00:00,0.00,200.00
07/08/2024 08:45:00,0.00,202.00
07/08/2024 08:30:00,0.00,203.00
07/08/2024 08:15:00,0.00,203.00
07/08/2024 08:00:00,0.00,204.00
07/08/2024 07:45:00,0.00,205.00
07/08/2024 07:30:00,0.00,206.00
07/08/2024 07:15:00,0.00,206.00
07/08/2024 07:00:00,0.00,206.00
07/08/2024 06:45:00,0.00,206.00
07/08/2024 06:30:00,0.00,207.00
07/08/2024 06:15:00,0.00,206.00
07/08/2024 06:00:00,0.00,206.00
07/08/2024 05:45:00,0.00,205.00
07/08/2024 05:30:00,0.00,205.00
07/08/2024 05:15:00,0.00,204.00
07/08/2024 05:00:00,0.00,202.00
07/08/2024 04:45:00,0.00,201.00
07/08/2024 04:30:00,0.00,201.00
07/08/2024 04:15:00,0.00,201.00
07/08/2024 04:00:00,0.00,202.00
07/08/2024 03:45:00,0.00,202.00
07/08/2024 03:30:00,0.00,200.00
07/08/2024 03:15:00,0.00,199.00
07/08/2024 03:00:00,0.00,200.00
07/08/2024 02:45:00,0.00,200.00
07/08/2024 02:30:00,0.00,200.00
07/08/2024 02:15:00,0.00,199.00
07/08/2024 02:00:00,0.00,196.00
07/08/2024 01:45:00,0.00,194.00
07/08/2024 01:30:00,0.00,191.00
07/08/2024 01:15:00,0.00,190.00
07/08/2024 01:00:00,0.00,190.00
07/08/2024 00:45:00,0.00,189.00
07/08/2024 00:30:00,0.00,188.00
07/08/2024 00:15:00,0.00,188.00
07/08/2024 00:00:00,0.00,187.00
06/08/2024 23:45:00,0.00,186.00
06/08/2024 23:30:00,0.00,185.00
06/08/2024 23:15:00,0.00,183.00
06/08/2024 23:00:00,0.00,181.00
06/08/2024 22:45:00,0.00,180.00
06/08/2024 22:30:00,0.00,179.00
06/08/2024 22:15:00,0.00,178.00
06/08/2024 22:00:00,0.00,177.00
06/08/2024 21:45:00,0.00,176.00
06/08/2024 21:30:00,0.00,177.00
06/08/2024 21:15:00,0.00,176.00
06/08/2024 21:00:00,0.00,176.00
06/08/2024 20:45:00,0.00,176.00
06/08/2024 20:30:00,0.00,177.00
06/08/2024 20:15:00,0.00,177.00
06/08/2024 20:00:00,0.00,177.00
06/08/2024 19:45:00,0.00,177.00
06/08/2024 19:30:00,0.00,177.00
06/08/2024 19:15:00,0.00,177.00
06/08/2024 19:00:00,0.00,178.00
06/08/2024 18:45:00,0.00,178.00
06/08/2024 18:30:00,0.00,178.00
06/08/2024 18:15:00,0.00,178.00
